doc_name,stream,group,is_active,is_expired,is_rfc,is_replaced,is_withdrawn_submitter,is_withdrawn_ietf,rfc_num,revisions
name,became_rfc,expired,replaced,revisions
draft-ietf-osids-simple-stack,False,True,False,0
draft-ietf-cip-apisocket,False,True,False,0
draft-ietf-x400ops-mgtdomains-ops,True,False,False,5
draft-ietf-opstat-model,True,False,False,0
draft-ietf-ethermib-implexp,True,False,False,0
draft-ietf-ethermib-objects,False,True,False,0
draft-ietf-osids-dirtree,False,True,False,0
draft-ietf-ripv2-mibext,True,False,False,3
draft-ietf-mhsds-subtrees,True,False,False,5
draft-ietf-mhsds-infotree,True,False,False,6
draft-ietf-mhsds-supmapping,True,False,False,5
draft-ietf-mhsds-mhsuse,False,True,False,3
draft-ietf-mhsds-822dir,False,True,False,3
draft-ietf-mhsds-mhsprofile,False,True,False,4
draft-ietf-mpsnmp-overosi,True,False,False,3
draft-ietf-ident-mib,True,False,False,3
draft-ietf-mhsds-routdirectory,True,False,False,5
draft-ietf-osids-lightdirect,True,False,False,2
draft-ietf-ospf-v2update,False,True,False,0
draft-ietf-idpr-summary,True,False,False,0
draft-ietf-bgp-bgp4,True,False,False,9
draft-ietf-osids-syntaxes,True,False,False,1
draft-ietf-iesg-tftp,True,False,False,0
draft-ietf-ident-idserver,True,False,False,2
draft-ietf-iplpdn-shortcutrouting,False,True,False,2
draft-ietf-pppext-ipxcp,True,False,False,4
draft-ietf-atm-multipro,True,False,False,5
draft-ietf-stjohns-ipso,False,True,False,0
draft-ietf-x400ops-charactersets,True,False,False,2
draft-ietf-iplpdn-directed_arp,True,False,False,0
draft-ietf-pppext-ipcpmib,True,False,False,4
draft-ietf-pppext-bridgemib,True,False,False,3
draft-ietf-pppext-lcpmib,True,False,False,3
draft-ietf-pppext-secmib,True,False,False,3
draft-ietf-mpsnmp-overipx,True,False,False,1
draft-ietf-atommib-sonet,True,False,False,3
draft-ietf-dhc-options,True,False,False,3
draft-ietf-dhc-between-bootp,True,False,False,2
draft-ietf-mimemhs-mapping,True,False,False,2
draft-ietf-mimemhs-body-equival,True,False,False,2
draft-ietf-nisi-privacy-nic,True,False,False,0
draft-ietf-telnet-authspx,True,False,False,0
draft-ietf-acct-metermib,False,True,False,0
draft-ietf-acct-archreport,False,True,False,0
draft-ietf-ethermib-objectsv2,True,False,False,2
draft-ietf-snmpv2-intro,True,False,False,5
draft-ietf-snmpv2-proto,True,False,False,5
draft-ietf-snmpv2-tm,True,False,False,6
draft-ietf-snmpv2-coex,True,False,False,5
draft-ietf-snmpv2-tc,True,False,False,5
draft-ietf-snmpv2-smi,True,False,False,5
draft-ietf-snmpv2-m2m,True,False,False,5
draft-ietf-snmpv2-mib,True,False,False,5
draft-ietf-ripv2-analysis,True,False,False,0
draft-ietf-822ext-iso2022jp,True,False,False,2
draft-ietf-bgp-mibv4,True,False,False,5
draft-ietf-pem-forms,True,False,False,1
draft-ietf-tuba-clnp,True,False,False,5
draft-ietf-fddi-ipoverfddi,True,False,False,0
draft-ietf-idr-bgp4ospf-interact,True,False,False,7
draft-ietf-sdr-sdrp,False,True,False,5
draft-ietf-osids-dua-metrics,True,False,False,0
draft-ietf-osids-dsa-metrics,True,False,False,1
draft-ietf-userdoc2-fyi-novice,True,False,False,2
draft-ietf-bgp-application,True,False,False,3
draft-ietf-mimemhs-harpoon,True,False,False,2
draft-ietf-userglos-glossary,True,False,False,1
draft-ietf-nasreq-nasrequirements,False,True,False,1
draft-ietf-hostmib-resources,True,False,False,2
draft-ietf-ids-x500-survey,True,False,False,2
draft-ietf-ospf-nssa-option,True,False,False,0
draft-ietf-osids-plan-directory,True,False,False,0
draft-ietf-snmp-transmap,False,True,False,0
draft-ietf-bridge-objects,True,False,False,1
draft-ietf-avt-issues,False,True,False,1
draft-ietf-pip-processing,True,False,False,2
draft-ietf-pip-objects,False,True,False,0
draft-ietf-pip-eip-shell,False,True,False,0
draft-ietf-pip-identifiers,False,True,False,2
draft-ietf-ospf-mib,True,False,False,5
draft-ietf-tuba-address,False,True,False,0
draft-ietf-mhsds-convert,False,True,False,1
draft-ietf-noop-echo,True,False,False,1
draft-ietf-noop-tools,True,False,False,2
